"","plz_code","ZIP_3","ZIP3_ID"
"312","73312","733",1043
"313","97789","977",1079
"314","36160","361",561
"315","97795","977",1079
"316","25485","254",848
"317","25469","254",848
"318","24568","245",540
"319","97080","970",1024
"320","36419","364",558
"321","74424","744",970
"322","36284","362",560
"323","97070","970",1024
"324","89197","891",332
"325","31162","311",662
"326","73494","734",1042
"327","97656","976",1082
"328","21220","212",487
"329","21376","213",478
"330","88451","884",1071
"331","31311","313",660
"332","29221","292",728
"333","22119","221",403
"334","89281","892",327
"335","87764","877",1165
"336","73492","734",1042
"337","24635","246",539
"338","24245","242",550
"339","24610","246",539
"340","87773","877",1165
"341","87734","877",1165
"342","87785","877",1165
"343","91550","915",889
"344","91555","915",889
"345","97508","975",1085
"346","29351","293",727
"347","38704","387",608
"348","89446","894",323
"349","22958","229",454
"350","29553","295",725
"351","99947","999",1168
"352","22956","229",453
"353","99880","998",1169
"354","89407","894",323
"355","87775","877",1165
"356","38551","385",613
"357","35644","356",571
"358","33647","336",499
"359","33739","337",554
"360","72175","721",33
"361","35075","350",586
"362","78083","780",275
"363","68799","687",386
"364","35428","354",576
"365","64295","642",1037
"366","60439","604",61
"367","72221","722",76
"368","69214","692",183
"369","78591","785",265
"370","72229","722",76
"371","60314","603",62
"372","64668","646",1100
"373","78582","785",265
"374","64859","648",1098
"375","28199","281",904
"376","28844","288",894
"377","78589","785",265
"378","63073","630",1106
"379","78224","782",270
"380","74915","749",964
"381","78600","786",263
"382","34414","344",409
"383","78345","783",267
"384","74906","749",964
"385","63533","635",1162
"386","78351","783",267
"387","74372","743",929
"388","69439","694",174
"389","74392","743",929
"390","70569","705",8
"391","74391","743",929
"392","78354","783",267
"393","31628","316",677
"394","35327","353",578
"395","63897","638",1155
"396","34434","344",409
"397","71634","716",116
"398","72631","726",67
"399","74379","743",929
"400","71691","716",116
"401","63826","638",1156
"402","71642","716",116
"403","72658","726",67
"404","24803","248",531
"405","63875","638",1156
"406","71334","713",122
"407","88356","883",1074
"408","24887","248",531
"409","73773","737",1038
"410","34128","341",423
"411","97900","979",1072
"412","26180","261",800
"413","78136","781",273
"414","67169","671",477
"415","59609","596",220
"416","26969","269",781
"417","65183","651",311
"418","65185","651",311
"419","76448","764",1045
"420","78199","781",273
"421","49448","494",645
"422","59555","595",221
"423","35688","356",572
"424","67373","673",463
"425","68623","686",388
"426","64589","645",1101
"427","34323","343",413
"428","27374","273",925
"429","34302","343",414
"430","74629","746",968
"431","25379","253",850
"432","24960","249",564
"433","24999","249",564
"434","73066","730",978
"435","34253","342",419
"436","88276","882",1078
"437","88214","882",1078
"438","72589","725",70
"439","24594","245",542
"440","89617","896",316
"441","24894","248",531
"442","73105","731",973
"443","30455","304",605
"444","30453","304",605
"445","55424","554",435
"446","77656","776",312
"447","79674","796",492
"448","49076","490",658
"449","57072","570",172
"450","77654","776",312
"451","67305","673",464
"452","77797","777",397
"453","49124","491",654
"454","79730","797",488
"455","79859","798",482
"456","56316","563",356
"457","58762","587",102
"458","79541","795",495
"459","48167","481",206
"460","48324","483",201
"461","79356","793",501
"462","59075","590",227
"463","26169","261",800
"464","67806","678",518
"465","56410","564",351
"466","79292","792",502
"467","79114","791",506
"468","48356","483",199
"469","44137","441",340
"470","48480","484",197
"471","06128","061",692
