"","ZIP_3","ZIP3_ID"
"444","715",118
"445","978",1077
"446","239",590
"447","809",814
"448","836",130
"449","918",875
"450","910",900
"451","965",88
"452","962",57
"453","905",759
"454","864",943
"455","235",569
"456","384",614
"457","294",726
"458","393",707
"459","598",218
"460","768",1109
"461","675",455
"462","552",443
"463","787",261
"464","352",579
"465","247",534
"466","831",86
"467","840",47
"468","831",84
"469","931",52
"470","930",28
"471","044",864
"472","168",872
"473","944",23
"474","068",669
"475","083",732
"476","148",771
"477","091",1132
"478","172",721
"479","106",438
"480","134",822
"481","131",826
"482","940",1177
"483","123",523
"484","940",1178
"485","157",912
"486","163",881
"487","152",915
"488","243",546
"489","731",976
"490","735",1041
"491","745",969
"492","227",462
"493","211",491
"494","883",1076
"495","246",536
"496","214",473
"497","916",883
"498","874",1136
"499","312",661
"500","973",1019
"501","238",594
"502","065",684
"503","905",755
"504","823",18
"505","856",1052
"506","392",712
"507","841",46
"508","957",139
"509","927",839
"510","084",731
"511","043",867
"512","069",664
"513","082",736
"514","167",873
"515","047",859
"516","095",1119
"517","135",820
"518","096",1116
"519","101",387
"520","876",1166
"521","914",893
"522","991",1154
"523","032",905
"524","019",855
"525","027",768
"526","322",627
"527","614",1028
"528","682",395
"529","658",361
"530","599",216
"531","274",924
"532","754",1117
"533","643",1036
"534","283",901
"535","717",110
"536","708",2
"537","784",266
"538","638",1157
"539","639",1151
"540","274",923
"541","885",1068
"542","343",412
"543","474",213
"544","406",1063
"545","470",217
"546","415",321
"547","567",347
"548","497",641
"549","669",295
"550","677",447
"551","264",794
"552","677",446
"553","575",166
"554","587",103
"555","779",390
"556","551",445
"557","654",308
"558","493",648
"559","778",392
"560","678",520
"561","656",377
"562","511",1096
"563","665",250
"564","421",233
"565","448",417
"566","669",297
"567","535",345
"568","583",109
"569","537",338
"570","794",496
"571","465",91
"572","502",961
"573","462",98
"574","544",242
"575","535",343
"576","425",281
"577","457",144
"578","585",105
"579","556",428
"580","581",115
"581","593",223
"582","576",161
"583","483",200
"584","532",293
"585","664",255
"586","267",786
"587","456",153
"588","568",426
"589","780",276
"590","321",629
"591","685",389
"592","337",553
"593","644",1033
"594","325",624
"595","353",577
"596","328",647
"597","692",182
"598","352",580
"599","706",6
"600","343",410
"601","315",678
"602","742",930
"603","343",411
"604","717",111
"605","714",121
"606","217",526
"607","245",541
"608","309",598
"609","228",459
"610","214",472
"611","975",1088
"612","867",986
"613","996",1141
"614","653",309
"615","564",352
"616","768",1107
"617","674",460
"618","767",1111
"619","262",798
"620","573",169
"621","652",310
"622","670",480
"623","763",1046
"624","736",1039
"625","308",601
"626","820",1167
"627","851",1006
"628","851",1008
"629","931",53
"630","076",744
"631","926",841
"632","831",85
"633","068",667
"634","068",666
"635","083",733
"636","168",871
"637","945",21
"638","144",777
"639","095",1118
"640","016",806
"641","015",807
"642","103",379
"643","185",695
"644","017",804
"645","393",708
"646","825",12
"647","077",742
"648","816",39
"649","818",31
"650","062",690
"651","957",140
"652","896",315
"653","242",551
"654","202",621
"655","976",1081
"656","201",622
"657","210",494
"658","375",632
"659","975",1089
"660","985",959
"661","215",466
"662","837",128
"663","395",705
"664","957",142
"665","041",870
"666","092",1130
"667","145",776
"668","165",874
"669","159",907
"670","158",909
"671","107",437
"672","173",718
"673","104",369
"674","658",360
"675","326",657
"676","272",926
"677","692",179
"678","631",1105
"679","330",513
"680","885",1069
"681","728",63
"682","012",811
"683","029",802
"684","029",803
"685","865",995
"686","918",876
"687","863",951
"688","867",983
"689","918",877
"690","864",948
"691","794",497
"692","574",168
"693","572",170
"694","761",1056
"695","544",239
"696","539",331
"697","472",214
"698","668",300
"699","408",1059
"700","461",99
"701","407",1061
"702","509",955
"703","509",954
"704","458",189
"705","194",761
"706","193",763
"707","066",681
"708","068",668
"709","844",81
"710","046",860
"711","361",562
"712","248",532
"713","204",619
"714","865",992
"715","916",884
"716","214",475
"717","386",611
"718","374",634
"719","688",384
"720","323",626
"721","338",548
"722","351",582
"723","326",656
"724","742",932
"725","975",1090
"726","239",588
"727","214",474
"728","865",989
"729","863",950
"730","865",990
"731","522",1025
"732","463",96
"733","543",244
"734","464",94
"735","501",928
"736","542",248
"737","668",299
"738","545",237
"739","543",246
"740","454",157
"741","543",247
"742","508",956
"743","487",190
"744","560",385
"745","562",367
"746","669",298
"747","562",366
"748","482",205
"749","216",529
"750","247",533
"751","342",421
"752","493",649
"753","515",1144
"754","584",106
"755","538",335
"756","583",107
"757","850",1011
"758","392",710
"759","950",97
"760","906",749
"761","906",753
"762","396",704
"763","263",796
"764","552",441
"765","552",442
"766","225",393
"767","865",991
"768","865",997
"769","543",245
"770","486",193
"771","427",279
"772","515",1142
"773","563",358
"774","582",112
"775","265",791
"776","448",416
"777","181",701
"778","180",702
"779","926",844
"780","184",696
"781","108",432
"782","277",919
"783","694",176
"784","611",962
"785","716",117
"786","741",940
"787","317",670
"788","317",671
"789","707",5
"790","741",939
"791","130",833
"792","010",816
"793","013",810
"794","786",262
"795","356",573
"796","720",40
"797","723",75
"798","742",931
"799","742",933
"800","317",672
"801","916",887
"802","916",886
"803","906",750
"804","065",683
"805","797",489
"806","555",434
"807","576",163
"808","670",479
"809","337",555
"810","239",589
"811","244",544
"812","370",639
"813","890",337
"814","210",493
"815","373",635
"816","975",1087
"817","915",890
"818","229",452
"819","081",737
"820","146",774
"821","834",132
"822","941",1173
"823","520",1027
"824","418",313
"825","487",191
"826","580",119
"827","269",780
"828","803",825
"829","126",516
"830","597",219
"831","479",207
"832","412",284
"833","477",209
"834","406",1062
"835","423",230
"836","538",334
"837","562",368
"838","588",101
"839","940",1179
"840","077",741
"841","857",1051
"842","815",41
"843","857",1049
"844","046",861
"845","844",82
"846","226",391
"847","246",538
"848","242",552
"849","975",1086
"850","798",484
"851","767",1114
"852","695",173
"853","277",920
"854","644",1032
"855","351",583
"856","710",78
"857","639",1152
"858","318",665
"859","707",4
"860","741",941
"861","747",967
"862","308",600
"863","917",879
"864","824",16
"865","906",751
"866","905",756
"867","263",797
"868","552",439
"869","763",1047
"870","014",809
"871","334",505
"872","259",827
"873","483",202
"874","853",1000
"875","995",1145
"876","562",365
"877","422",232
"878","536",341
"879","668",302
"880","555",433
"881","905",758
"882","987",1013
"883","044",865
"884","931",54
"885","170",723
"886","683",394
"887","681",401
"888","692",184
"889","282",903
"890","692",185
"891","315",679
"892","637",1159
"893","742",936
"894","728",65
"895","215",465
"896","561",381
"897","731",975
"898","308",599
"899","238",591
"900","386",610
"901","915",892
"902","546",290
"903","459",188
"904","568",424
"905","360",563
"906","475",211
"907","552",444
"908","278",916
"909","668",303
"910","563",357
"911","494",644
"912","656",375
"913","269",779
"914","264",793
"915","665",252
"916","567",346
"917","557",514
"918","731",977
"919","751",1129
"920","276",921
"921","612",1031
"922","742",935
"923","708",3
"924","805",821
"925","066",682
"926","855",1058
"927","853",1003
"928","147",773
"929","185",694
"930","944",25
"931","864",946
"932","867",984
"933","927",837
"934","181",699
"935","172",720
"936","955",147
"937","804",823
"938","259",828
"939","691",186
"940","721",36
"941","228",456
"942","237",565
"943","863",952
"944","163",880
"945","011",812
"946","411",285
"947","668",301
"948","554",436
"949","561",382
"950","556",430
"951","556",429
"952","086",729
"953","926",843
"954","955",148
"955","955",149
"956","158",910
"957","677",449
"958","667",305
"959","567",348
"960","516",1140
"961","798",485
"962","633",1103
"963","321",628
"964","721",34
"965","708",1
"966","711",127
"967","205",640
"968","074",746
"969","492",651
"970","780",277
"971","334",503
